,Nombre,Código NIF,Localidad,Coordenada - X,Coordenada - Y,Ultimo año disponible,Ultimo número empleados,No of companies in corporate group,Código primario CNAE 2009,Literal código CNAE 2009 primario,Descripción actividad,"Ingresos de explotación
EUR
Últ. año disp.","Ingresos de explotación
EUR
2020","Ingresos de explotación
EUR
2019","Ingresos de explotación
EUR
2018","Ingresos de explotación
EUR
2017","Ingresos de explotación
EUR
2016","Ingresos de explotación
EUR
2015","Ingresos de explotación
EUR
2014","Ingresos de explotación
EUR
2013","Ingresos de explotación
EUR
2012","Ingresos de explotación
EUR
2011","Ingresos de explotación
EUR
2010","Resultado del Ejercicio
EUR
Últ. año disp.","Resultado del Ejercicio
EUR
2020","Resultado del Ejercicio
EUR
2019","Resultado del Ejercicio
EUR
2018","Resultado del Ejercicio
EUR
2017","Resultado del Ejercicio
EUR
2016","Resultado del Ejercicio
EUR
2015","Resultado del Ejercicio
EUR
2014","Resultado del Ejercicio
EUR
2013","Resultado del Ejercicio
EUR
2012","Resultado del Ejercicio
EUR
2011","Resultado del Ejercicio
EUR
2010","Rentabilidad económica (%)
%
Últ. año disp.","Rentabilidad económica (%)
%
2020","Rentabilidad económica (%)
%
2019","Rentabilidad económica (%)
%
2018","Rentabilidad económica (%)
%
2017","Rentabilidad económica (%)
%
2016","Rentabilidad económica (%)
%
2015","Rentabilidad económica (%)
%
2014","Rentabilidad económica (%)
%
2013","Rentabilidad económica (%)
%
2012","Rentabilidad económica (%)
%
2011","Rentabilidad económica (%)
%
2010","Rentabilidad financiera (%)
%
Últ. año disp.","Rentabilidad financiera (%)
%
2020","Rentabilidad financiera (%)
%
2019","Rentabilidad financiera (%)
%
2018","Rentabilidad financiera (%)
%
2017","Rentabilidad financiera (%)
%
2016","Rentabilidad financiera (%)
%
2015","Rentabilidad financiera (%)
%
2014","Rentabilidad financiera (%)
%
2013","Rentabilidad financiera (%)
%
2012","Rentabilidad financiera (%)
%
2011","Rentabilidad financiera (%)
%
2010","Liquidez general
%
Últ. año disp.","Liquidez general
%
2020","Liquidez general
%
2019","Liquidez general
%
2018","Liquidez general
%
2017","Liquidez general
%
2016","Liquidez general
%
2015","Liquidez general
%
2014","Liquidez general
%
2013","Liquidez general
%
2012","Liquidez general
%
2011","Liquidez general
%
2010","Endeudamiento (%)
%
Últ. año disp.","Endeudamiento (%)
%
2020","Endeudamiento (%)
%
2019","Endeudamiento (%)
%
2018","Endeudamiento (%)
%
2017","Endeudamiento (%)
%
2016","Endeudamiento (%)
%
2015","Endeudamiento (%)
%
2014","Endeudamiento (%)
%
2013","Endeudamiento (%)
%
2012","Endeudamiento (%)
%
2011","Endeudamiento (%)
%
2010","Número empleados
Últ. año disp.","Número empleados
2020","Número empleados
2019","Número empleados
2018","Número empleados
2017","Número empleados
2016","Número empleados
2015","Número empleados
2014","Número empleados
2013","Número empleados
2012","Número empleados
2011","Número empleados
2010","Distribución - Mujeres
Últ. año disp.","Distribución - Mujeres
2020","Distribución - Mujeres
2019","Distribución - Mujeres
2018","Distribución - Mujeres
2017","Distribución - Mujeres
2016","Distribución - Mujeres
2015","Distribución - Mujeres
2014","Distribución - Mujeres
2013","Distribución - Mujeres
2012","Distribución - Mujeres
2011","Distribución - Mujeres
2010","Distribución - Hombres
Últ. año disp.","Distribución - Hombres
2020","Distribución - Hombres
2019","Distribución - Hombres
2018","Distribución - Hombres
2017","Distribución - Hombres
2016","Distribución - Hombres
2015","Distribución - Hombres
2014","Distribución - Hombres
2013","Distribución - Hombres
2012","Distribución - Hombres
2011","Distribución - Hombres
2010"
828.,EDISA SISTEMAS DE INFORMACION SA,A36781334,VIGO,-8.71720223,42.22858718,31/12/2019,52,0,6202,Actividades de consultoría informática,Actividades de I+D.,"5,059,778",n.d.,"5,059,778","4,398,969","3,546,788","3,475,971","2,915,042","2,778,092",n.d.,"1,998,686","1,706,936","1,782,812","988,836",n.d.,"988,836","727,716","522,918","369,792","291,148","260,668",n.d.,"146,414","119,645","70,521",21.74,n.d.,21.74,18.87,17.17,14.10,13.26,13.48,n.d.,9.04,8.19,5.29,28.51,n.d.,28.51,25.55,23.19,19.47,15.83,16.54,n.d.,11.37,10.06,6.05,2.85,n.d.,2.85,2.70,2.38,2.07,1.99,2.63,n.d.,2.85,3.11,4.31,23.76,n.d.,23.76,26.12,25.96,27.57,16.25,18.52,n.d.,20.46,18.64,12.48,45,n.d.,45,52,46,38,36,26,n.d.,22,22,24,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,6,3,n.d.,n.d.,3,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,32,23,n.d.,n.d.,20,n.d.
829.,ASENTA CONSULTING SL,B48482954,BILBAO,-2.93033183,43.26371538,31/12/2019,29,0,7022,Otras actividades de consultoría de gestión empresarial,Consultoría de dirección.,"5,050,821",n.d.,"5,050,821","5,508,555","5,232,148","4,886,998","4,435,571","4,393,633","4,127,455","4,062,076","3,951,266","3,543,780","558,506",n.d.,"558,506","910,044","850,102","849,894","573,676","473,929","410,218","512,954","531,484","356,009",37.18,n.d.,37.18,55.14,49.79,42.77,38.96,37.92,28.90,33.95,40.15,26.59,70.06,n.d.,70.06,125.69,128.52,77.70,69.47,128.30,49.18,99.08,68.58,38.57,2.01,n.d.,2.01,1.71,1.56,2.17,2.17,1.33,2.25,1.42,2.30,3.09,46.93,n.d.,46.93,56.13,61.26,44.95,43.92,70.45,41.24,65.74,41.46,31.05,29,n.d.,29,29,27,26,18,18,24,20,19,17,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,4,7,13,6,5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,12,13,4,14,14,n.d.
830.,MARKETING DE APOYO ESTRATEGICO SL.,B87277307,MADRID,-3.7114327,40.48974675,31/12/2019,20,0,6311,"Proceso de datos, hosting y actividades relacionadas","LA ELABORACION DE TODA CLASE DE ESTUDIOS Y PROYECTOS ECONOMICOS, INDUSTRIALES Y TECNICOS DE PROYECCION E INVESTIGACION DE MERCADOS; LA REALIZACION DE TODA CLASE DE ASESORAMIENTOS COMERCIALES, INDUSTRIALES Y DE INVERSIONES, INCLUIDOS LOS SERVICIOS DE GESTION DE NEGOCIOS Y COMPAÑIAS MERCANTILES","5,047,918",n.d.,"5,047,918","64,232","38,044",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,"62,639",n.d.,"62,639","3,438","-51,827",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,19.50,n.d.,19.50,1.04,-10.37,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,-218.53,n.d.,-218.53,-3.77,54.70,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.89,n.d.,0.89,0.78,0.84,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,108.93,n.d.,108.93,127.65,118.97,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
831.,SOFTENG SL,B61279980,BARCELONA,2.16445836,41.3948994,31/12/2018,25,2,6209,Otros servicios relacionados con las tecnologías de la información y la informática,"ACTIVIDAD DE ADQUISICION, CESION DE DERECHOS DE UTILIZACION, ELABORACION, DISTRIBUCION, VENTA Y ARRENDAMIENTO DE PROGRAMAS INFORMATICOS DE BASE Y DE APLICACION. DISTRIBUCION, COMPRA, VENTA, ARRENDAMIENTO DE MATERIAL INFO","5,027,765",n.d.,n.d.,"5,027,765","3,781,414","2,238,302","1,502,974","1,302,773","994,191","1,063,073","1,034,341","1,077,189","423,348",n.d.,n.d.,"423,348","473,844","422,560","213,101","165,586","48,299","74,786","-130,887","-75,397",14.72,n.d.,n.d.,14.72,19.69,20.88,12.31,9.70,3.17,4.46,-7.23,-4.90,22.84,n.d.,n.d.,22.84,31.18,36.77,25.79,25.19,8.79,14.11,-27.26,-15.96,2.00,n.d.,n.d.,2.00,1.80,1.30,1.10,1.14,0.87,0.97,1.06,2.24,35.55,n.d.,n.d.,35.55,36.84,43.20,52.27,61.49,64.01,68.40,73.47,69.32,22,n.d.,n.d.,22,20,19,18,17,17,19,20,20,5,n.d.,n.d.,5,n.d.,n.d.,3,n.d.,n.d.,n.d.,n.d.,n.d.,17,n.d.,n.d.,17,n.d.,n.d.,15,n.d.,n.d.,n.d.,n.d.,n.d.
832.,TANGRAM SOLUTIONS SL,B83819102,VILLAVICIOSA DE ODON,-3.92338375,40.38483196,31/12/2019,8,2,6202,Actividades de consultoría informática,"Servicios de consultoría informática, principalmente para sector audiovisual.","5,006,404",n.d.,"5,006,404","3,988,838","3,689,267","2,926,268","3,146,653","2,397,837","2,577,727","1,340,938","1,454,789","1,532,218","148,408",n.d.,"148,408","135,854","5,788","66,310","134,327","-16,460","41,122","-38,273","2,393","-37,075",10.99,n.d.,10.99,17.32,0.78,10.55,35.28,-4.93,9.14,-11.77,1.11,-13.08,37.37,n.d.,37.37,48.96,3.34,38.78,110.52,-79.11,124.07,"-1,612.78",7.96,-126.92,1.37,n.d.,1.37,1.53,1.28,1.35,1.66,1.15,0.55,0.92,1.17,1.18,70.58,n.d.,70.58,64.62,76.67,72.81,68.08,93.76,92.64,99.27,86.08,89.69,8,n.d.,8,8,8,7,7,6,7,8,6,6,2,n.d.,2,n.d.,n.d.,n.d.,n.d.,3,2,n.d.,n.d.,n.d.,7,n.d.,7,n.d.,n.d.,n.d.,n.d.,4,4,n.d.,n.d.,n.d.
833.,"FLUENDO, SOCIEDAD ANONIMA UNIPERSONAL",A64001217,BARCELONA,2.13266296,41.38933833,31/12/2019,27,4,6209,Otros servicios relacionados con las tecnologías de la información y la informática,"PRESTACION DE SERVICIOS DE ESTUDIO Y ANALISIS DE PROCESOS INFORMATICOS, DE DESARROLLO DE SOFTWARE, DE PROGRAMACION INFORMATICA, DE COMERCIALIZACION DE CUALQUIER TIPO DE SOFTWARE Y/O PROGRAMA INFORMATICO, ETC","5,002,147",n.d.,"5,002,147","3,806,468","2,758,789","2,638,651","2,171,199","2,144,757","2,023,996","2,843,418","2,391,726","1,481,055","391,633",n.d.,"391,633","760,095","532,319","921,891","114,858","311,261","-4,583","497,653","-10,407","-27,260",6.18,n.d.,6.18,24.06,9.86,27.66,4.55,9.98,-0.18,17.90,-0.37,-1.60,15.88,n.d.,15.88,40.75,15.04,42.78,9.32,27.84,-0.57,61.34,-3.32,-21.40,2.18,n.d.,2.18,2.21,3.47,3.11,1.97,2.47,4.19,3.40,2.39,2.21,61.09,n.d.,61.09,40.94,34.46,35.36,51.21,64.16,69.13,70.81,88.95,92.50,27,n.d.,27,27,19,15,9,9,9,9,10,10,5,n.d.,5,n.d.,3,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,22,n.d.,22,n.d.,15,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
834.,LOYIC INFORMATION TECHNOLOGY S.L.,B67293183,SABADELL,2.11293022,41.54608452,31/12/2019,77,0,6202,Actividades de consultoría informática,"LOS SERVICIOS DE PROGRAMACION, CONSULTORIA, AUDITORIA INFORMATICA Y FORMACION EN SISTEMAS DE INFORMACION Y GESTION DE EQUIPOS INFORMATICOS","4,990,987",n.d.,"4,990,987",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,"287,178",n.d.,"287,178",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,30.25,n.d.,30.25,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,128.89,n.d.,128.89,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.18,n.d.,1.18,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,76.53,n.d.,76.53,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,77,n.d.,77,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
835.,CIBERNOS SERVICIOS SA,A78051323,SEVILLA,-6.00597204,37.40440276,31/12/2019,122,19,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Prestación de servicios informáticos para empresas en general.,"4,985,860",n.d.,"4,985,860","4,440,322","3,604,343","4,117,013","4,976,651","4,447,025","3,800,077","5,409,406","5,125,675","3,440,366","132,343",n.d.,"132,343","83,252","34,513","99,538","84,298","107,224","76,144","156,212","118,519","97,335",2.83,n.d.,2.83,2.30,1.06,3.13,2.31,2.80,2.66,7.85,3.93,5.15,8.93,n.d.,8.93,7.24,3.22,9.16,8.58,12.30,9.50,20.89,18.62,17.46,1.01,n.d.,1.01,1.10,1.11,0.85,0.99,0.88,1.32,1.52,1.25,1.32,68.30,n.d.,68.30,68.18,67.06,65.85,73.10,77.27,72.02,62.45,78.90,70.48,151,n.d.,151,143,122,134,174,155,140,154,160,126,47,n.d.,47,47,36,34,37,46,74,n.d.,76,60,112,n.d.,112,113,86,91,133,149,65,n.d.,72,65
836.,"AIS-APLICACIONES DE INTELIGENCIA ARTIFICIAL, SA",A58417759,BARCELONA,2.16523879,41.38896092,31/12/2019,100,4,6202,Actividades de consultoría informática,"Consultoria estrategica, financiera y tecnologica. Desarrollo de aplicaciones para la gestion de riesgo de credito...","4,971,434",n.d.,"4,971,434","4,338,986","4,568,448","4,499,056","4,312,079","3,771,618","3,638,226","3,404,967","3,018,489","3,526,551","69,808",n.d.,"69,808","97,974","78,779","84,025","113,920","47,089","58,496","29,947","24,009","37,058",1.29,n.d.,1.29,2.30,1.97,2.04,2.52,1.08,1.55,0.77,0.69,1.14,4.39,n.d.,4.39,6.11,4.94,5.37,7.35,3.25,4.08,2.14,1.68,2.90,0.85,n.d.,0.85,0.86,0.88,0.94,1.04,0.95,0.97,0.99,1.06,1.06,70.68,n.d.,70.68,62.43,60.03,62.05,65.67,66.81,62.04,63.82,59.08,60.63,81,n.d.,81,74,70,67,70,62,61,67,72,66,28,n.d.,28,25,23,21,27,n.d.,17,18,20,24,53,n.d.,53,49,47,46,43,n.d.,44,49,52,42
837.,REDEGAL SL,B32318354,OURENSE,-7.85448319,42.34360326,31/12/2019,80,0,6209,Otros servicios relacionados con las tecnologías de la información y la informática,"Desarrollo web ,comercio electrónico y marketing digital.","4,964,565",n.d.,"4,964,565","4,725,216","3,766,585","2,592,092","2,264,912","1,764,791","786,679","618,143","784,472","903,254","101,497",n.d.,"101,497","194,975","163,285","143,191","76,718","169,078","-28,659","-30,751","25,707","39,173",1.99,n.d.,1.99,3.74,4.79,6.39,4.28,6.06,-3.36,-5.15,5.75,10.38,13.00,n.d.,13.00,24.20,23.25,30.48,21.83,27.82,-8.54,-22.34,24.12,44.58,1.08,n.d.,1.08,1.18,1.36,1.66,4.97,2.03,2.41,1.35,1.32,1.14,84.70,n.d.,84.70,84.53,79.40,79.02,80.40,78.20,60.67,76.93,76.16,76.71,69,n.d.,69,69,59,52,40,22,12,11,7,6,n.d.,n.d.,n.d.,n.d.,26,n.d.,21,12,4,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,32,n.d.,25,20,10,n.d.,n.d.,n.d.
838.,LEDA CONSULTING SL,B83453829,MADRID,-3.69951628,40.41794231,31/12/2019,77,3,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Consultoría informática,"4,964,564",n.d.,"4,964,564","5,959,023","5,120,815","4,639,688","4,696,965","3,230,179","2,828,835","2,347,588","2,115,324","2,008,786","209,277",n.d.,"209,277","356,589","232,373","368,440","161,000","91,413","114,336","75,779","67,684","65,534",12.57,n.d.,12.57,18.81,11.27,15.55,12.69,10.52,12.76,12.93,12.49,10.38,18.59,n.d.,18.59,28.51,23.15,42.11,24.86,20.81,25.74,21.16,22.46,24.52,2.59,n.d.,2.59,2.52,1.74,1.50,1.98,2.55,2.48,2.62,2.20,1.77,32.38,n.d.,32.38,34.02,51.31,63.08,48.95,49.45,50.45,38.88,44.41,57.68,77,n.d.,77,98,86,80,74,49,41,31,27,25,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,26,18,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,32,26,n.d.,n.d.,n.d.
839.,RONDA DEL MARKETING SL.,B87449534,MADRID,-3.71166498,40.44787132,31/12/2018,20,19,6209,Otros servicios relacionados con las tecnologías de la información y la informática,"Constituye el objeto de esta Sociedad: 1. Prestación de servicios de publicidad y relaciones públicas, así como la gestión de proyectos de marketing, promoción y esponsorización para empresas y particulares, todo ello mediante soportes físicos, sonoros, digitales e interactivos. 2. Servicios ..","4,949,562",n.d.,n.d.,"4,949,562","2,257,040","840,679",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,"68,151",n.d.,n.d.,"68,151","8,477",-166,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.94,n.d.,n.d.,2.94,0.53,-0.03,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,115.86,n.d.,n.d.,115.86,109.98,-12.27,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.03,n.d.,n.d.,1.03,1.01,1.00,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,97.47,n.d.,n.d.,97.47,99.51,99.77,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
840.,TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION APLICACIONES Y REDES PARA LA UNIVERSIDAD DE MURCIA SLU,B73696957,MURCIA,-1.12713718,37.98236578,31/12/2019,151,28,6209,Otros servicios relacionados con las tecnologías de la información y la informática,"Mantener, gestionar, desarrollar, distribuir y explotar soluciones basadasen tecnologias de la informacion y redes, asi como los equipos y medios tecnicos, materiales e inmateriales, necesarios para ello","4,946,079",n.d.,"4,946,079","4,570,852","3,685,879","3,236,835","3,025,118","3,072,373","2,357,049","2,020,637","966,054",n.d.,"-15,656",n.d.,"-15,656","30,597","48,451","-18,926","14,550","17,409","118,969","42,976","75,302",n.d.,-2.01,n.d.,-2.01,4.82,8.11,-2.36,3.15,3.88,24.96,12.62,22.11,n.d.,-2.94,n.d.,-2.94,7.44,11.19,-3.76,4.05,5.10,34.76,16.99,34.11,n.d.,3.05,n.d.,3.05,2.75,3.53,2.63,4.41,4.15,3.50,3.79,2.67,n.d.,31.45,n.d.,31.45,35.19,27.51,37.26,22.16,23.87,28.20,25.73,35.17,n.d.,151,n.d.,151,142,117,107,104,104,78,77,28,n.d.,26,n.d.,26,n.d.,n.d.,n.d.,n.d.,18,17,18,n.d.,n.d.,132,n.d.,132,n.d.,n.d.,n.d.,n.d.,86,71,66,n.d.,n.d.
841.,SENETIC ESPAÑA SL.,B86790508,MADRID,-3.62329483,40.44119342,31/12/2019,4,19,6202,Actividades de consultoría informática,"COMPRA, VENTA, DISTRIBUCION, COMERCIALIZACION, INSTALACION, REPARACION Y ARRENDAMIENTO D EQUIPOS INFORMATICOS (HARDWARE). COMPRA, VENTA, DISTRIBUCION, COMERCIALIZACION, INTALACION Y ARRENDAMIENTO DE PROGRAMAS INFORMATICOS (SOFTWARE). PRESTACION DE SERVICIOS DE ASESORAMIENTO Y MANTENIMIENTO RELACIONA","4,943,969",n.d.,"4,943,969","3,888,499","3,838,003","3,247,411","3,338,324","2,521,486",n.d.,n.d.,n.d.,n.d.,"15,662",n.d.,"15,662","12,694","11,800","14,415","13,396","11,134","-24,435",n.d.,n.d.,n.d.,8.22,n.d.,8.22,7.92,7.46,10.82,6.02,3.05,-37.23,n.d.,n.d.,n.d.,78.98,n.d.,78.98,79.15,77.92,80.06,139.92,-337.35,169.28,n.d.,n.d.,n.d.,1.12,n.d.,1.12,1.11,1.11,1.16,1.04,0.99,0.82,n.d.,n.d.,n.d.,89.60,n.d.,89.60,90.00,90.43,86.48,95.70,100.90,121.99,n.d.,n.d.,n.d.,4,n.d.,4,4,3,2,2,1,n.d.,n.d.,n.d.,n.d.,1,n.d.,1,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,4,n.d.,4,3,n.d.,n.d.,n.d.,n.d.,0,n.d.,n.d.,n.d.
842.,NOVA ATICA SA,A97361315,GANDIA,-0.17176558,39.0105868,31/12/2019,16,10,7022,Otras actividades de consultoría de gestión empresarial,Gestión y explotación de consultoría de gestión inmobiliaria y administrativa.,"4,933,240",n.d.,"4,933,240","7,915,793","4,585,669","1,167,725","1,189,776","1,554,527","1,367,445","1,784,483","1,851,095","2,007,399","51,629",n.d.,"51,629","85,606","39,632","-112,099","-75,495","387,815","-115,112","-429,435","-392,776","190,499",1.70,n.d.,1.70,3.11,1.34,-4.58,-4.17,12.42,-4.75,-14.33,-10.23,5.51,3.08,n.d.,3.08,5.46,1.97,-5.68,-6.00,18.16,-8.49,-31.90,-22.12,11.94,1.48,n.d.,1.48,1.49,1.67,2.30,8.64,5.96,2.78,3.25,4.60,1.52,44.84,n.d.,44.84,43.01,31.85,19.33,30.41,31.64,44.01,55.07,53.77,53.86,16,n.d.,16,15,16,13,12,12,13,12,10,13,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3,n.d.,n.d.,n.d.
843.,INTERNET TOURISM SOLUTIONS SL,B97090138,PATERNA,-0.46619,39.554335,31/12/2019,80,0,6311,"Proceso de datos, hosting y actividades relacionadas","LA PRESTACION DE SERVICIOS TECNICOS, ASESORAMIENTO O VENTA DE SOFTWARE A EMPRESAS DEL SECTOR TURISTICO. LA COMERCIALIZACION DE PRODUCTOS TURISTICOS A TRAVES DE INTERNET Y OTROS MEDIOS TELEMATICOS.","4,931,393",n.d.,"4,931,393","3,825,913","2,661,189","2,056,511","1,414,539","1,096,168","849,650","680,478","565,348","516,644","788,791",n.d.,"788,791","515,832","461,290","340,472","35,428","54,085","43,127","30,896","28,819","36,443",20.98,n.d.,20.98,31.52,32.63,30.19,4.94,14.31,13.35,12.81,10.94,16.13,27.86,n.d.,27.86,42.65,50.51,41.58,5.29,18.38,16.77,15.72,14.90,21.40,6.28,n.d.,6.28,7.11,5.02,4.40,12.20,3.76,4.67,5.11,3.60,3.81,24.69,n.d.,24.69,26.11,35.39,27.40,6.75,22.15,20.38,18.52,26.59,24.62,94,n.d.,94,72,52,44,42,24,16,13,10,6,n.d.,n.d.,n.d.,n.d.,21,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1,n.d.,n.d.,n.d.,n.d.,34,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,5
844.,COBSER CONSULTING SL,B83666412,MADRID,-3.69594092,40.38335095,31/12/2019,47,2,6202,Actividades de consultoría informática,Gestión y explotación de consultoría informática y continuidad de negocio.,"4,926,999",n.d.,"4,926,999","4,504,159","3,588,229","3,124,620","3,268,078","2,704,805","2,544,064","2,404,881","1,729,783","1,877,974","142,084",n.d.,"142,084","136,557","55,680","45,400","41,077","4,637","56,862","7,755",503,"22,006",13.51,n.d.,13.51,13.21,7.13,7.17,8.91,1.08,10.05,1.59,0.14,5.45,26.80,n.d.,26.80,32.64,16.36,15.80,18.85,2.24,20.51,4.51,0.30,13.29,2.09,n.d.,2.09,1.72,1.81,1.89,1.96,1.94,1.92,1.61,2.27,1.70,49.58,n.d.,49.58,59.53,56.40,54.61,52.72,51.78,51.01,64.79,54.63,58.96,71,n.d.,71,56,47,45,43,35,38,32,28,25,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,18,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,25,n.d.,n.d.
845.,OPEN SOURCE AND SECURITY SERVICES SL,B63961981,BARCELONA,2.18922466,41.39667181,31/12/2019,13,2,7022,Otras actividades de consultoría de gestión empresarial,Servicios de consultoría y servicios para empresas.,"4,916,875",n.d.,"4,916,875","5,279,002","4,366,299","3,604,220","2,450,057","2,204,987","1,079,381","972,108","1,010,807","660,155","282,150",n.d.,"282,150","596,241","446,132","140,389","177,271","340,275","116,393","121,355","172,235","61,138",14.55,n.d.,14.55,27.90,25.89,10.33,13.30,27.64,16.61,11.95,19.25,8.70,45.16,n.d.,45.16,84.65,85.97,29.17,26.06,44.05,25.67,21.34,36.86,20.50,1.47,n.d.,1.47,1.59,1.60,1.85,3.59,2.43,2.39,2.27,2.51,1.88,67.79,n.d.,67.79,67.04,69.89,64.60,48.98,37.24,35.30,44.01,47.76,57.59,18,n.d.,18,17,15,13,12,13,8,8,7,6,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,4
846.,NURUN CRAZY LABS SL,B82581133,MADRID,-3.61574139,40.46353755,31/12/2019,37,794,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Agencia de creación digital y tecnológica.,"4,916,592",n.d.,"4,916,592","1,398,328","2,057,638","2,983,969","2,667,606","2,489,740","2,307,097","4,592,689",n.d.,"4,353,721","582,792",n.d.,"582,792","170,284","49,675","259,479","285,072","-707,931","-4,771,716","-359,851",n.d.,"-357,629",35.69,n.d.,35.69,14.52,4.44,18.77,21.79,-44.87,-294.22,-5.15,n.d.,-4.86,68.01,n.d.,68.01,32.67,12.24,56.78,94.79,"-4,518.77",185.96,-16.31,n.d.,-14.18,2.04,n.d.,2.04,1.71,1.49,1.43,1.20,0.97,0.35,1.51,n.d.,0.57,47.52,n.d.,47.52,55.54,63.75,66.94,77.01,99.01,258.21,68.43,n.d.,65.72,37,n.d.,37,22,21,29,30,31,34,74,n.d.,58,n.d.,n.d.,n.d.,11,n.d.,n.d.,16,n.d.,n.d.,n.d.,n.d.,24,n.d.,n.d.,n.d.,11,n.d.,n.d.,14,n.d.,n.d.,n.d.,n.d.,34
